adc10,adc11,adc12,adc13,adc21,adc22,adc23,region
4389.0,2525.0,1312.0,862.0,2340.0,8328.0,11758.0,RUN
4449.0,2522.0,1296.0,974.0,2018.0,8303.0,11733.0,RUN
4447.0,2520.0,1246.0,884.0,2128.0,8319.0,11732.0,RUN
4455.0,2529.0,1464.0,1048.0,2388.0,8339.0,11743.0,RUN
4500.0,2527.0,1346.0,926.0,2389.0,8410.0,11767.0,RUN
4532.0,2526.0,1380.0,950.0,2164.0,8379.0,11747.0,RUN
4524.0,2524.0,1292.0,874.0,2247.0,8403.0,11763.0,RUN
4589.0,2546.0,1647.0,949.0,2341.0,8573.0,11748.0,RUN
4646.0,2545.0,1518.0,913.0,2326.0,8687.0,11760.0,RUN
4632.0,2536.0,1282.0,934.0,2388.0,8590.0,11759.0,RUN
4625.0,2534.0,1233.0,892.0,2380.0,8604.0,11766.0,RUN
5106.0,2606.0,1660.0,1071.0,4035.0,9831.0,12857.0,RUN
5139.0,2599.0,1554.0,1036.0,4075.0,9970.0,12894.0,RUN
5057.0,2582.0,1434.0,1027.0,4063.0,9677.0,12850.0,RUN
5028.0,2578.0,1381.0,992.0,4115.0,9698.0,12879.0,RUN
5236.0,2587.0,1576.0,1052.0,3422.0,9621.0,12832.0,RUN
5523.0,2582.0,1497.0,1024.0,3625.0,9626.0,12840.0,RUN
5969.0,2579.0,1426.0,1047.0,4081.0,9511.0,12808.0,RUN
5836.0,2574.0,1361.0,997.0,4040.0,9482.0,12838.0,RUN
5250.0,2586.0,1619.0,1058.0,4206.0,9477.0,12796.0,RUN
5233.0,2576.0,1513.0,964.0,4051.0,9464.0,12783.0,RUN
5248.0,2567.0,1419.0,986.0,4276.0,9283.0,12772.0,RUN
5232.0,2561.0,1352.0,950.0,4008.0,9274.0,12761.0,RUN
5139.0,2597.0,1630.0,1038.0,3985.0,9272.0,12741.0,RUN
5336.0,2595.0,1564.0,838.0,4064.0,9377.0,12727.0,RUN
5131.0,2572.0,1438.0,991.0,4073.0,9188.0,12711.0,RUN
5111.0,2568.0,1355.0,931.0,4463.0,9197.0,12710.0,RUN
5037.0,2573.0,1566.0,994.0,4037.0,9025.0,12633.0,RUN
4774.0,2570.0,1492.0,929.0,4047.0,9092.0,12647.0,RUN
4654.0,2564.0,1372.0,913.0,3948.0,8971.0,12606.0,RUN
4611.0,2558.0,1285.0,900.0,3987.0,8973.0,12606.0,RUN
4535.0,2572.0,1477.0,938.0,4073.0,8981.0,12572.0,RUN
4562.0,2568.0,1393.0,891.0,3980.0,8988.0,12578.0,RUN
4536.0,2561.0,1380.0,967.0,3904.0,8869.0,12519.0,RUN
4520.0,2556.0,1290.0,896.0,3938.0,8873.0,12519.0,RUN
6178.0,2556.0,1817.0,1136.0,5391.0,9588.0,12825.0,RUN
6298.0,2559.0,1827.0,1122.0,5194.0,9696.0,12791.0,RUN
6264.0,2554.0,1791.0,1147.0,5246.0,9514.0,12829.0,RUN
6220.0,2545.0,1704.0,1083.0,4786.0,9473.0,12764.0,RUN
10390.0,3731.0,6017.0,2059.0,9424.0,15902.0,13198.0,RUN
10391.0,3710.0,5941.0,2109.0,9097.0,17690.0,12978.0,RUN
10295.0,3513.0,5050.0,2193.0,8248.0,17270.0,12709.0,RUN
10245.0,3499.0,4973.0,2171.0,8248.0,17254.0,12634.0,RUN
7354.0,2655.0,2109.0,1254.0,6566.0,13613.0,12077.0,RUN
7385.0,2651.0,2046.0,1254.0,6501.0,13644.0,12076.0,RUN
7393.0,2648.0,2018.0,1318.0,6217.0,13548.0,12104.0,RUN
7383.0,2642.0,1890.0,1287.0,6169.0,13562.0,12114.0,RUN
6981.0,2619.0,2086.0,1250.0,5871.0,12865.0,12078.0,RUN
7017.0,2617.0,2034.0,1222.0,5717.0,12913.0,12119.0,RUN
6998.0,2606.0,2091.0,1262.0,5799.0,12812.0,12201.0,RUN
6981.0,2599.0,1943.0,1237.0,5907.0,12826.0,12233.0,RUN
4134.0,2640.0,1866.0,850.0,2295.0,9714.0,8723.0,SB
4171.0,2637.0,1746.0,754.0,2259.0,9637.0,8718.0,SB
4234.0,2637.0,1766.0,801.0,2357.0,9782.0,8669.0,SB
4234.0,2635.0,1661.0,775.0,2336.0,9812.0,8669.0,SB
4163.0,2632.0,1774.0,760.0,2274.0,9478.0,8673.0,SB
4210.0,2634.0,1736.0,726.0,2266.0,9412.0,8619.0,SB
4301.0,2653.0,2267.0,812.0,2044.0,9653.0,8643.0,SB
4313.0,2652.0,2122.0,761.0,2085.0,9849.0,8679.0,SB
4372.0,2670.0,2076.0,805.0,2240.0,10556.0,8738.0,SB
4393.0,2662.0,1920.0,753.0,2218.0,9941.0,8722.0,SB
4423.0,2663.0,2121.0,784.0,2314.0,8959.0,8668.0,SB
4418.0,2657.0,1936.0,730.0,2310.0,9132.0,8692.0,SB
4404.0,2668.0,2064.0,807.0,2534.0,9029.0,8696.0,SB
4425.0,2664.0,1963.0,763.0,2455.0,9111.0,8714.0,SB
4459.0,2667.0,1979.0,800.0,2258.0,9140.0,8682.0,SB
4442.0,2659.0,1820.0,752.0,2247.0,9244.0,8686.0,SB
4287.0,2625.0,1592.0,771.0,2242.0,8928.0,8593.0,SB
4317.0,2622.0,1489.0,721.0,2177.0,8941.0,8614.0,SB
4388.0,2627.0,1495.0,821.0,2361.0,8945.0,8550.0,SB
4371.0,2622.0,1390.0,741.0,2221.0,8959.0,8571.0,SB
3960.0,2622.0,1454.0,791.0,2267.0,8594.0,8529.0,SB
3992.0,2621.0,1347.0,727.0,2258.0,8515.0,8536.0,SB
4052.0,2625.0,1485.0,798.0,2213.0,8521.0,8496.0,SB
4047.0,2621.0,1319.0,746.0,2175.0,8471.0,8507.0,SB
4064.0,2633.0,1506.0,745.0,2246.0,8388.0,8495.0,SB
4107.0,2633.0,1433.0,733.0,2224.0,8463.0,8509.0,SB
4143.0,2632.0,1387.0,775.0,2118.0,8495.0,8465.0,SB
4128.0,2628.0,1273.0,718.0,2101.0,8543.0,8465.0,SB
3944.0,2616.0,1370.0,759.0,2102.0,8440.0,8424.0,SB
3998.0,2617.0,1250.0,722.0,2045.0,8675.0,8437.0,SB
4070.0,2620.0,1354.0,809.0,2046.0,8588.0,8369.0,SB
4070.0,2617.0,1223.0,747.0,2041.0,8734.0,8388.0,SB
4082.0,2626.0,1362.0,771.0,2099.0,8804.0,8387.0,SB
4100.0,2623.0,1258.0,706.0,2085.0,8736.0,8393.0,SB
4140.0,2625.0,1293.0,747.0,2080.0,8661.0,8373.0,SB
4134.0,2623.0,1207.0,710.0,2080.0,8963.0,8379.0,SB
4127.0,2630.0,1401.0,726.0,2151.0,8793.0,8416.0,SB
4138.0,2627.0,1269.0,721.0,2097.0,8800.0,8426.0,SB
4188.0,2630.0,1232.0,742.0,2104.0,9007.0,8414.0,SB
4171.0,2627.0,1179.0,727.0,2106.0,8849.0,8427.0,SB
4694.0,2643.0,1890.0,992.0,3165.0,6616.0,8127.0,SB
4694.0,2633.0,1672.0,892.0,3144.0,6615.0,7997.0,SB
4617.0,2622.0,1704.0,935.0,3153.0,6428.0,8112.0,SB
4579.0,2621.0,1615.0,861.0,3154.0,6401.0,8130.0,SB
6399.0,2556.0,1851.0,1078.0,5573.0,11037.0,12435.0,SB
6433.0,2552.0,1826.0,1084.0,5598.0,11043.0,12440.0,SB
6439.0,2551.0,1863.0,1098.0,5269.0,10809.0,12442.0,SB
6443.0,2548.0,1804.0,1083.0,5343.0,10815.0,12519.0,SB
9139.0,3054.0,3134.0,1625.0,7599.0,16377.0,13158.0,SB
9159.0,3043.0,3091.0,1647.0,7611.0,16504.0,13188.0,SB
9159.0,2986.0,2883.0,1721.0,8095.0,16296.0,13245.0,SB
9128.0,2977.0,2836.0,1678.0,7503.0,16340.0,13104.0,SB
5592.0,2504.0,1859.0,1059.0,5182.0,7214.0,12790.0,UPS
5621.0,2502.0,1765.0,974.0,5215.0,7250.0,12832.0,UPS
5675.0,2504.0,1687.0,990.0,4867.0,7253.0,12762.0,UPS
5653.0,2497.0,1561.0,982.0,5006.0,7245.0,12705.0,UPS
4441.0,2598.0,1683.0,901.0,3234.0,6227.0,8150.0,UPS
4456.0,2590.0,1562.0,857.0,3225.0,6206.0,8176.0,UPS
4463.0,2595.0,1672.0,914.0,3235.0,6168.0,8171.0,UPS
4443.0,2587.0,1606.0,902.0,3228.0,6169.0,8188.0,UPS
4620.0,2536.0,1708.0,943.0,3274.0,6547.0,8078.0,UVA
4647.0,2534.0,1621.0,854.0,3207.0,6528.0,8032.0,UVA
4645.0,2527.0,1684.0,890.0,3254.0,6443.0,8062.0,UVA
4619.0,2521.0,1610.0,831.0,3239.0,6429.0,8117.0,UVA
5717.0,2520.0,1968.0,964.0,4119.0,7576.0,12750.0,UVA
5717.0,2511.0,1818.0,967.0,4274.0,7603.0,12740.0,UVA
5793.0,2525.0,1908.0,1004.0,4353.0,7610.0,12770.0,UVA
5804.0,2519.0,1757.0,1008.0,4417.0,7585.0,12849.0,UVA
5626.0,2493.0,1676.0,1036.0,4995.0,7186.0,12657.0,UVA
5660.0,2490.0,1600.0,1011.0,5030.0,7246.0,12669.0,UVA
5703.0,2495.0,1729.0,1044.0,4961.0,7254.0,12724.0,UVA
5668.0,2486.0,1599.0,984.0,5002.0,7235.0,12694.0,UVA
